Giorno,Piattaforma,Pillar,Hook,Script VO,CTA,Obiettivo,Formato,UTM Content,Stato
1,Instagram + TikTok + YouTube Shorts,Problema,"Dove finiscono davvero i soldi a fine mese?","Dove finiscono davvero i tuoi soldi? Se arrivi a fine mese e non capisci come hai speso lo stipendio, il problema non è necessariamente quanto guadagni. È che non hai un numero chiaro da seguire.","Scarica Budget Reset gratis → link in bio",Lead,9:16 • 15-20s,dove_finisco_soldi,Da creare
2,Instagram + TikTok,Educazione,"Il tuo saldo non è il tuo budget.","Hai 500 euro sul conto? Non significa che puoi spenderli tutti. Affitto, bollette, abbonamenti e spese già previste hanno già una parte di quei soldi. Il saldo dice quanto hai. Il budget dice quanto puoi spendere.","Link in bio → Budget Reset",Traffic,9:16 • 15-20s,saldo_non_budget,Da creare
3,Instagram + TikTok + YouTube Shorts,Psicologia,"Non sei spendaccione: ti manca un sistema.","Continui a prometterti che il prossimo mese risparmierai di più? Forse non sei spendaccione. Forse ti manca semplicemente un sistema per sapere quanto puoi davvero spendere.","Scarica gratis →",Lead,9:16 • 15-20s,non_sei_spendaccione,Da creare
4,Instagram + TikTok,Demo,"Ti faccio vedere Budget Reset in 15 secondi.","Inserisci quanto entra. Segna le spese. Guarda quanto rimane. Poi scegli un obiettivo. Tutto qui. Budget Reset nasce per farti capire il tuo mese senza trasformarlo in un progetto complicato.","Provalo gratis →",Activation,9:16 • screen recording,demo_budget_reset,Da creare
5,Instagram + TikTok,Provocazione,"Se risparmi solo quello che resta, non stai scegliendo.","Prima spendi, poi paghi tutto, poi speri che resti qualcosa per risparmiare. Inverti il processo: decidi prima quanto vuoi proteggere e costruisci il mese intorno a quel numero.","Scarica Budget Reset →",Lead,9:16 • 15-20s,risparmio_quello_che_resta,Da creare
6,Instagram Stories,Lifestyle,"Il controllo del budget può durare 10 minuti.","Non serve controllare tutto ogni giorno. Una volta a settimana: guardi le spese, aggiorni il budget e controlli il tuo numero disponibile. Dieci minuti. Fine.","Fai il tuo Reset →",Activation,9:16 • Stories,reset_10_minuti,Da creare
7,Instagram + TikTok + YouTube Shorts,CTA,"Hai 10 minuti? Fai il tuo primo Reset.","Apri il Budget Reset. Inserisci entrate e uscite. Scopri dove stanno andando i soldi e quanto puoi davvero spendere. Il primo reset può iniziare oggi.","Scarica gratis → link in bio",Lead,9:16 • 15-20s,primo_reset,Da creare
8,Instagram + TikTok,Problema,"I 5 euro che non conti mai.","Cinque euro sembrano niente. Ma cinque euro ripetuti tante volte diventano una parte del tuo mese. Non devi eliminare tutto. Devi vedere il totale.","Link in bio →",Traffic,9:16 • 15-20s,5_euro,Da creare
9,Instagram + TikTok,Educazione,"Le 4 categorie per capire dove vanno i soldi.","Parti da quattro gruppi: casa, vita quotidiana, piaceri e futuro. Non serve classificare ogni centesimo. Serve vedere quali categorie stanno mangiando il tuo margine.","Scarica Budget Reset →",Lead,9:16 • 20s,4_categorie,Da creare
10,YouTube + Shorts,Psicologia,"Perché spendere è facile e pianificare no.","Comprare dà una ricompensa subito. Pianificare dà un vantaggio dopo. Per questo un sistema semplice batte la forza di volontà.","Scopri il metodo →",Trust,Short + video lungo,spendere_vs_pianificare,Da creare
11,Instagram + TikTok,Demo,"Quanto puoi spendere questa settimana?","Non chiederti quanto hai sul conto. Chiediti quanto puoi spendere questa settimana dopo le spese già previste. Quel numero cambia il modo in cui compri.","Provalo gratis →",Activation,9:16 • screen recording,quanto_posso_spendere,Da creare
12,Instagram Stories,Educazione,"Gli abbonamenti che hai smesso di vedere.","App, servizi, palestre, software: il problema non è averli. È dimenticarli. Fai una lista e controlla quanto costano in un anno.","Fai il check →",Lead,9:16 • Stories,abbonamenti,Da creare
13,Instagram + TikTok,Provocazione,"Non devi smettere di vivere.","Il budget non serve a dirti sempre no. Serve a dirti sì senza quella sensazione di aver esagerato. Quando conosci il tuo margine, spendere diventa più semplice.","Scarica gratis →",Lead,9:16 • 15-20s,budget_non_deve_bloccarti,Da creare
14,Instagram + TikTok + YouTube Shorts,CTA,"7 giorni per rimettere ordine.","Per sette giorni controlla una sola cosa: quanto puoi davvero spendere. Alla fine del settimo giorno avrai già più chiarezza di prima.","Scarica Budget Reset →",Lead,9:16 • 15-20s,7_giorni_reset,Da creare
15,Instagram + TikTok,Problema,"Il giorno dello stipendio è già un piano finanziario.","Appena arriva lo stipendio, senza accorgertene hai già deciso: prima le spese, poi tutto il resto. Prova a dare un compito a ogni euro prima di spenderlo.","Link in bio →",Traffic,9:16 • 15-20s,giorno_stipendio,Da creare
16,Instagram + TikTok,Educazione,"Dai un lavoro ai tuoi soldi.","Ogni euro dovrebbe avere uno scopo: vivere, divertirti, coprire imprevisti o costruire il futuro. Non serve complicare il budget. Serve decidere prima.","Scarica gratis →",Lead,9:16 • 15-20s,dai_un_lavoro_ai_soldi,Da creare
17,Instagram + TikTok,Psicologia,"L'effetto me lo merito.","Dopo una giornata difficile, comprare qualcosa può sembrare meritato. Il problema arriva quando quella scelta si ripete senza essere prevista. Inseriscila nel budget: così puoi godertela senza senso di colpa.","Fai il Reset →",Trust,9:16 • 20s,me_lo_merito,Da creare
18,Instagram + TikTok,Demo,"Da saldo bancario a budget disponibile.","Guarda il saldo. Sottrai le spese già previste. Proteggi il tuo obiettivo. Quello che rimane è molto più utile del semplice saldo.","Provalo gratis →",Activation,9:16 • screen recording,saldo_a_budget,Da creare
19,Instagram + TikTok,Provocazione,"Il budget non serve per dirti no.","Il budget serve per dirti: sì, questa spesa ci sta. No, questa settimana no. E soprattutto: non devo decidere ogni volta da zero.","Scarica gratis →",Lead,9:16 • 15-20s,budget_dice_si_o_no,Da creare
20,YouTube + Shorts,Educazione,"Come fare un budget se non ne hai mai fatto uno.","Non partire dai grafici. Parti da tre numeri: quanto entra, quanto deve uscire, quanto vuoi tenere. Il resto viene dopo.","Scarica Budget Reset →",Lead,Short + video lungo,budget_da_zero,Da creare
21,Instagram + TikTok,CTA,"Controllo settimanale: 5 minuti.","Ogni settimana apri il tuo budget, controlla le ultime spese e aggiorna il numero disponibile. Cinque minuti che possono evitarti venti giorni di confusione.","Scarica gratis →",Lead,9:16 • 15-20s,controllo_5_minuti,Da creare
22,Instagram + TikTok,Problema,"La spesa che dimentichi è quella che pesa.","Le grandi spese le ricordi. Quelle piccole no. E proprio perché non le ricordi, non riesci a capire dove è finito il margine del mese.","Link in bio →",Traffic,9:16 • 15-20s,spesa_dimenticata,Da creare
23,Instagram + TikTok,Educazione,"Un obiettivo piccolo batte una promessa enorme.","Meglio decidere 50 euro e riuscirci che promettere 500 e mollare dopo due settimane. Il sistema deve essere sostenibile, non impressionante.","Scarica gratis →",Lead,9:16 • 15-20s,obiettivo_50_euro,Da creare
24,Instagram + TikTok,Demo,"Costruisci il tuo primo fondo di emergenza.","Non pensare subito a migliaia di euro. Parti da un primo traguardo. Budget Reset ti aiuta a trasformare il desiderio di risparmiare in un numero concreto.","Provalo gratis →",Activation,9:16 • screen recording,fondo_emergenza_primo_step,Da creare
25,Instagram + TikTok,Psicologia,"Il problema non è il caffè da 2 euro.","Il problema non è un singolo caffè. È non sapere quanto spendi complessivamente nelle piccole decisioni quotidiane. Guarda il totale, non il colpevole.","Scarica gratis →",Lead,9:16 • 15-20s,caffe_2_euro,Da creare
26,Instagram Stories,Lifestyle,"Il mio Reset del venerdì.","Venerdì significa cinque minuti di controllo: cosa ho speso, cosa deve ancora uscire, quanto posso spendere nel weekend. Semplice.","Fallo anche tu →",Activation,9:16 • Stories,reset_venerdi,Da creare
27,Instagram + TikTok,Provocazione,"Quanto ti resta davvero dopo le spese già previste?","Questa è la domanda. Non quanto hai. Quanto rimane dopo aver tolto ciò che sai già che dovrai pagare.","Scoprilo gratis →",Lead,9:16 • 15-20s,quanto_resta_davvero,Da creare
28,YouTube + Shorts,Educazione,"Come risparmiare con uno stipendio normale.","Non serve guadagnare il doppio per iniziare. Serve sapere quanto margine hai e creare una regola semplice che puoi ripetere.","Scarica Budget Reset →",Lead,Short + video lungo,risparmiare_stipendio_normale,Da creare
29,Instagram + TikTok,Demo,"Prima e dopo: 10 minuti di Budget Reset.","Prima: Non so dove siano finiti i soldi. Dopo: So quanto posso spendere e quanto voglio mettere da parte. Questo è il vero reset.","Provalo gratis →",Activation,9:16 • screen recording,prima_dopo_reset,Da creare
30,Instagram + TikTok + YouTube Shorts,CTA,"Smetti di chiederti dove sono finiti i soldi.","Non devi diventare un esperto di finanza personale. Devi solo iniziare a vedere il tuo mese con chiarezza. Parti da Budget Reset.","Scarica gratis → link in bio",Lead,9:16 • 15-20s,parti_da_budget_reset,Da creare
